Quantity,DigiKey Part Number,Manufacturer Part Number,Description,Unit Price
1,ATMEGA328P-PU-ND,ATMEGA328P-PU,IC MCU 8BIT 32KB FLASH 28DIP,1.7819
1,ED3050-5-ND,ED281DT,CONN IC DIP SOCKET 28POS TIN,0.23402
1,RMCF1206JT10K0CT-ND,RMCF1206JT10K0,RES 10K OHM 5% 1/4W 1206,0.012
2,RNCP1206FTD1K00CT-ND,RNCP1206FTD1K00,RES 1K OHM 1% 1/2W 1206,0.0358
1,160-1457-1-ND,LTST-C230KRKT,LED RED CLEAR CHIP SMD,0.0936
1,160-1456-1-ND,LTST-C230KGKT,LED GREEN CLEAR CHIP SMD,0.09396
2,732-8086-1-ND,8.85012E+11,CAP CER 0.1UF 10V X7R 1206,0.0889
1,732-7692-1-ND,8.85012E+11,CAP CER 1UF 16V X7R 1206,0.1201
1,MCP1702T-3302E/CBCT-ND,MCP1702T-3302E/CB,IC REG LIN 3.3V 250MA SOT23A-3,0.3708
1,IRLZ34NPBF-ND,IRLZ34NPBF,MOSFET N-CH 55V 30A TO-220AB,1.017
1,S5481-ND,PPPC061LGBN-RC,CONN HDR 6POS 0.1 GOLD PCB R/A,0.5029
1,732-7692-6-ND,8.85012E+11,CAP CER 1UF 16V X7R 1206,0.1636
